"id","year","state_name","state_code","type_of_accident","cases","injured","died"
358,"2021","Karnataka","29","Railway Crossing Accidents",0.0,0.0,0.0
359,"2021","Karnataka","29","Road Accidents",34647.0,40754.0,10038.0
360,"2021","Kerala","32","Railway Accidents",171.0,0.0,172.0
361,"2021","Kerala","32","Railway Crossing Accidents",121.0,2.0,123.0
362,"2021","Kerala","32","Road Accidents",32759.0,36514.0,3429.0
363,"2021","Ladakh","37","Railway Accidents",0.0,0.0,0.0
364,"2021","Ladakh","37","Railway Crossing Accidents",0.0,0.0,0.0
365,"2021","Ladakh","37","Road Accidents",237.0,291.0,56.0
366,"2021","Lakshadweep","31","Railway Accidents",0.0,0.0,0.0
367,"2021","Lakshadweep","31","Railway Crossing Accidents",0.0,0.0,0.0
368,"2021","Lakshadweep","31","Road Accidents",4.0,6.0,1.0
369,"2021","Madhya Pradesh","23","Railway Accidents",1078.0,0.0,1079.0
370,"2021","Madhya Pradesh","23","Railway Crossing Accidents",196.0,0.0,196.0
